method,hit_rate_at_5,hit_rate_at_10,mrr_at_10,ndcg_at_10
hybrid_rerank,0.8125,0.875,0.6833333333333333,0.5574439521938859
dense,0.75,0.8125,0.6464285714285715,0.5602560765820092
hybrid,0.9375,1.0,0.6287202380952381,0.6063277795484389
bm25,0.625,0.75,0.40476190476190477,0.3985175356003435
